transaction_id,items
1,"bread,milk"
2,"bread,diaper,beer,eggs"
3,"milk,diaper,beer,cola"
4,"bread,milk,diaper,beer"
5,"bread,milk,diaper,cola"
6,"milk,diaper,beer"
7,"bread,milk,beer"
8,"bread,diaper,beer"
9,"milk,diaper,cola"
10,"bread,milk,diaper,beer,cola"
11,"bread,milk"
12,"diaper,beer"
13,"bread,cola"
14,"milk,cola"
15,"bread,milk,diaper"
16,"bread,beer"
17,"milk,beer"
18,"bread,diaper"
19,"milk,diaper"
20,"bread,milk,diaper,beer"
21,"bread,milk"
22,"bread,diaper,beer"
23,"milk,diaper,beer"
24,"bread,milk,diaper"
25,"bread,milk,cola"
26,"milk,beer"
27,"bread,beer,cola"
28,"bread,milk,beer"
29,"milk,diaper"
30,"bread,diaper,cola"
31,"bread,milk,diaper,beer"
32,"milk,cola"
33,"bread,beer"
34,"diaper,beer,cola"
35,"bread,milk"
36,"milk,diaper,beer"
37,"bread,milk,diaper"
38,"bread,beer"
39,"milk,beer"
40,"bread,milk,diaper,cola"
41,"bread,cola"
42,"milk,cola"
43,"bread,milk,beer"
44,"diaper,beer"
45,"bread,milk"
46,"bread,diaper"
47,"milk,diaper"
48,"bread,milk,diaper,beer"
49,"bread,beer"
50,"milk,beer"
